Monsterid,Damage,Health,GoldValue,DiaValue,Reward1,Reward1Value,Asset
30487,745,201759984937,4724420,-1,-1,-1,MageSkeletonWithShield
30488,747,201760883292,4743880,-1,-1,-1,MageSkeletonWithShield
30489,748,201761781649,4763380,-1,-1,-1,MageSkeletonWithShield
30490,750,201762680008,4782920,49500,-1,-1,MageSkeletonWithShield
30491,751,201763578369,4802500,-1,-1,-1,MageSkeletonWithShield
30492,753,201764476733,4822120,-1,-1,-1,MageSkeletonWithShield
30493,754,220765133033,4841780,-1,-1,-1,MageSkeletonWithShield
30494,756,220766072747,4861480,-1,-1,-1,MageSkeletonWithShield
30495,757,220767012463,4881220,50000,-1,-1,MageSkeletonWithShield
30496,759,220767952181,4901000,-1,-1,-1,MageSkeletonWithShield
30497,760,220768891901,4920820,-1,-1,-1,MageSkeletonWithShield
30498,762,220769831623,4940680,-1,-1,-1,MageSkeletonWithShield
30499,763,220770771347,4960580,-1,-1,-1,MageSkeletonWithShield
30500,765,241177482906,4980520,50500,-1,-1,MageSkeletonWithShield
30501,766,241178465104,5000500,-1,-1,-1,SkeletonWithShield
30502,768,241179447303,5020520,-1,-1,-1,SkeletonWithShield
30503,769,241180429505,5040580,-1,-1,-1,SkeletonWithShield
30504,771,241181411708,5060680,-1,-1,-1,SkeletonWithShield
30505,772,241182393914,5080820,51000,-1,-1,SkeletonWithShield
30506,774,241183376121,5101000,-1,-1,-1,SkeletonWithShield
30507,775,263072784937,5121220,-1,-1,-1,SkeletonWithShield
30508,777,263073810750,5141480,-1,-1,-1,SkeletonWithShield
30509,778,263074836566,5161780,-1,-1,-1,SkeletonWithShield
30510,780,263075862383,5182120,51500,-1,-1,SkeletonWithShield
30511,781,263076888203,5202500,-1,-1,-1,SkeletonWithShield
30512,783,263077914024,5222920,-1,-1,-1,SkeletonWithShield
30513,784,263078939847,5243380,-1,-1,-1,SkeletonWithShield
30514,786,286530424089,5263880,-1,-1,-1,SkeletonWithShield
30515,787,286531494660,5284420,52000,-1,-1,SkeletonWithShield
30516,789,286532565234,5305000,-1,-1,-1,SkeletonWithShield
30517,790,286533635810,5325620,-1,-1,-1,SkeletonWithShield
30518,792,286534706388,5346280,-1,-1,-1,SkeletonWithShield
30519,793,286535776967,5366980,-1,-1,-1,SkeletonWithShield
30520,795,286536847549,5387720,52500,-1,-1,SkeletonWithShield
30521,796,311632569558,5408500,-1,-1,-1,SkeletonWithShield
30522,798,311633686040,5429320,-1,-1,-1,SkeletonWithShield
30523,799,311634802525,5450180,-1,-1,-1,SkeletonWithShield
30524,801,311635919011,5471080,-1,-1,-1,SkeletonWithShield
30525,802,311637035499,5492020,53000,-1,-1,SkeletonWithShield
30526,804,311638151989,5513000,-1,-1,-1,Spider2
30527,805,311639268481,5534020,-1,-1,-1,Spider2
30528,807,338464222772,5555080,-1,-1,-1,Spider2
30529,808,338465386327,5576180,-1,-1,-1,Spider2
30530,810,338466549883,5597320,53500,-1,-1,Spider2
30531,811,338467713442,5618500,-1,-1,-1,Spider2
30532,813,338468877002,5639720,-1,-1,-1,Spider2
30533,814,338470040565,5660980,-1,-1,-1,Spider2
30534,816,338471204130,5682280,-1,-1,-1,Spider2
30535,817,367113265386,5703620,54000,-1,-1,Spider2
30536,819,367114477184,5725000,-1,-1,-1,Spider2
30537,820,367115688985,5746420,-1,-1,-1,Spider2
30538,822,367116900787,5767880,-1,-1,-1,Spider2
30539,823,367118112591,5789380,-1,-1,-1,Spider2
30540,825,367119324398,5810920,54500,-1,-1,Spider2
30541,826,367120536206,5832500,-1,-1,-1,Spider2
30542,828,397670507280,5854120,-1,-1,-1,Spider2
30543,829,397671768503,5875780,-1,-1,-1,Spider2
30544,831,397673029729,5897480,-1,-1,-1,Spider2
30545,832,397674290956,5919220,55000,-1,-1,Spider2
30546,834,397675552186,5941000,-1,-1,-1,Spider2
30547,835,397676813417,5962820,-1,-1,-1,Spider2
30548,837,397678074650,5984680,-1,-1,-1,Spider2
30549,838,430229734561,6006580,-1,-1,-1,Spider2
30550,840,430231046400,6028520,55500,-1,-1,Spider2
30551,841,430232358241,6050500,-1,-1,-1,BigWorm2
30552,843,430233670084,6072520,-1,-1,-1,BigWorm2
30553,844,430234981929,6094580,-1,-1,-1,BigWorm2
30554,846,430236293776,6116680,-1,-1,-1,BigWorm2
30555,847,430237605625,6138820,56000,-1,-1,BigWorm2
30556,849,464887757559,6161000,-1,-1,-1,BigWorm2
30557,850,464889121213,6183220,-1,-1,-1,BigWorm2
30558,852,464890484870,6205480,-1,-1,-1,BigWorm2
30559,853,464891848528,6227780,-1,-1,-1,BigWorm2
30560,855,464893212189,6250120,56500,-1,-1,BigWorm2
30561,856,464894575851,6272500,-1,-1,-1,BigWorm2
30562,858,464895939516,6294920,-1,-1,-1,BigWorm2
30563,859,501744458824,6317380,-1,-1,-1,BigWorm2
30564,861,501745875503,6339880,-1,-1,-1,BigWorm2
30565,862,501747292185,6362420,57000,-1,-1,BigWorm2
30566,864,501748708868,6385000,-1,-1,-1,BigWorm2
30567,865,501750125554,6407620,-1,-1,-1,BigWorm2
30568,867,501751542241,6430280,-1,-1,-1,BigWorm2
30569,868,501752958930,6452980,-1,-1,-1,BigWorm2
30570,870,540902841127,6475720,57500,-1,-1,BigWorm2
30571,871,540904312050,6498500,-1,-1,-1,BigWorm2
30572,873,540905782975,6521320,-1,-1,-1,BigWorm2
30573,874,540907253902,6544180,-1,-1,-1,BigWorm2
30574,876,540908724831,6567080,-1,-1,-1,BigWorm2
30575,877,540910195762,6590020,58000,-1,-1,BigWorm2
30576,879,540911666695,6613000,-1,-1,-1,Assassin
30577,880,582469075459,6636020,-1,-1,-1,Assassin
30578,882,582470601853,6659080,-1,-1,-1,Assassin
30579,883,582472128249,6682180,-1,-1,-1,Assassin
30580,885,582473654647,6705320,58500,-1,-1,Assassin
30581,886,582475181048,6728500,-1,-1,-1,Assassin
30582,888,582476707450,6751720,-1,-1,-1,Assassin
30583,889,582478233854,6774980,-1,-1,-1,Assassin
30584,891,626552549024,6798280,-1,-1,-1,Assassin
30585,892,626554132127,6821620,59000,-1,-1,Assassin
30586,894,626555715231,6845000,-1,-1,-1,Assassin
30587,895,626557298338,6868420,-1,-1,-1,Assassin
30588,897,626558881446,6891880,-1,-1,-1,Assassin
30589,898,626560464557,6915380,-1,-1,-1,Assassin
30590,900,626562047669,6938920,59500,-1,-1,Assassin
30591,901,673265913246,6962500,-1,-1,-1,Assassin
30592,903,673267554303,6986120,-1,-1,-1,Assassin
30593,904,673269195361,7009780,-1,-1,-1,Assassin
30594,906,673270836422,7033480,-1,-1,-1,Assassin
30595,907,673272477484,7057220,60000,-1,-1,Assassin
30596,909,673274118549,7081000,-1,-1,-1,Assassin
30597,910,673275759616,7104820,-1,-1,-1,Assassin
30598,912,722725131759,7128680,-1,-1,-1,Assassin
30599,913,722726832025,7152580,-1,-1,-1,Assassin
30600,915,722728532293,7176520,60500,-1,-1,Assassin
30601,916,722730232562,7200500,-1,-1,-1,Assassin
30602,918,722731932834,7224520,-1,-1,-1,Assassin
30603,919,722733633108,7248580,-1,-1,-1,Assassin
30604,921,722735333384,7272680,-1,-1,-1,Assassin
30605,922,775049528412,7296820,61000,-1,-1,Assassin
30606,924,775051289151,7321000,-1,-1,-1,Assassin
30607,925,775053049892,7345220,-1,-1,-1,Assassin
30608,927,775054810634,7369480,-1,-1,-1,Assassin
30609,928,775056571379,7393780,-1,-1,-1,Assassin
30610,930,775058332126,7418120,61500,-1,-1,Assassin
30611,931,775060092875,7442500,-1,-1,-1,Assassin
30612,933,830361835263,7466920,-1,-1,-1,Assassin
30613,934,830363657748,7491380,-1,-1,-1,Assassin
30614,936,830365480235,7515880,-1,-1,-1,Assassin
30615,937,830367302724,7540420,62000,-1,-1,Assassin
30616,939,830369125215,7565000,-1,-1,-1,Assassin
30617,940,830370947708,7589620,-1,-1,-1,Assassin
30618,942,830372770202,7614280,-1,-1,-1,Assassin
30619,943,888788240583,7638980,-1,-1,-1,Assassin
30620,945,888790126096,7663720,62500,-1,-1,Assassin
30621,946,888792011610,7688500,-1,-1,-1,Assassin
30622,948,888793897126,7713320,-1,-1,-1,Assassin
30623,949,888795782645,7738180,-1,-1,-1,Assassin
30624,951,888797668165,7763080,-1,-1,-1,Assassin
30625,952,888799553687,7788020,63000,-1,-1,Assassin
30626,954,950458436849,7813000,-1,-1,-1,Mage Skeleton
30627,955,950460386679,7838020,-1,-1,-1,Mage Skeleton
30628,957,950462336511,7863080,-1,-1,-1,Mage Skeleton
30629,958,950464286345,7888180,-1,-1,-1,Mage Skeleton
30630,960,950466236181,7913320,63500,-1,-1,Mage Skeleton
30631,961,950468186020,7938500,-1,-1,-1,Mage Skeleton
30632,963,950470135860,7963720,-1,-1,-1,Mage Skeleton
30633,964,1015505668744,7988980,-1,-1,-1,Mage Skeleton
30634,966,1015507684191,8014280,-1,-1,-1,Mage Skeleton
30635,967,1015509699640,8039620,64000,-1,-1,Mage Skeleton
30636,969,1015511715091,8065000,-1,-1,-1,Mage Skeleton
30637,970,1015513730544,8090420,-1,-1,-1,Mage Skeleton
30638,972,1015515745999,8115880,-1,-1,-1,Mage Skeleton
30639,973,1015517761456,8141380,-1,-1,-1,Mage Skeleton
30640,975,1084066781160,8166920,64500,-1,-1,Mage Skeleton
30641,976,1084068863532,8192500,-1,-1,-1,Mage Skeleton
30642,978,1084070945905,8218120,-1,-1,-1,Mage Skeleton
30643,979,1084073028281,8243780,-1,-1,-1,Mage Skeleton
30644,981,1084075110658,8269480,-1,-1,-1,Mage Skeleton
30645,982,1084077193038,8295220,65000,-1,-1,Mage Skeleton
30646,984,1084079275420,8321000,-1,-1,-1,Mage Skeleton
30647,985,1156282267191,8346820,-1,-1,-1,Mage Skeleton
30648,987,1156284417803,8372680,-1,-1,-1,Mage Skeleton
30649,988,1156286568418,8398580,-1,-1,-1,Mage Skeleton
30650,990,1156288719034,8424520,65500,-1,-1,Mage Skeleton
30651,991,1156290869652,8450500,-1,-1,-1,Spider1
30652,993,1156293020273,8476520,-1,-1,-1,Spider1
30653,994,1156295170895,8502580,-1,-1,-1,Spider1
30654,996,1232296316135,8528680,-1,-1,-1,Spider1
30655,997,1232298536313,8554820,66000,-1,-1,Spider1
30656,999,1232300756493,8581000,-1,-1,-1,Spider1
30657,1000,1232302976675,8607220,-1,-1,-1,Spider1
30658,1002,1232305196859,8633480,-1,-1,-1,Spider1
30659,1003,1232307417045,8659780,-1,-1,-1,Spider1
30660,1005,1232309637232,8686120,66500,-1,-1,Spider1
30661,1006,1312256861493,8712500,-1,-1,-1,Spider1
30662,1008,1312259152569,8738920,-1,-1,-1,Spider1
30663,1009,1312261443648,8765380,-1,-1,-1,Spider1
30664,1011,1312263734728,8791880,-1,-1,-1,Spider1
30665,1012,1312266025811,8818420,67000,-1,-1,Spider1
30666,1014,1312268316896,8845000,-1,-1,-1,Spider1
30667,1015,1312270607982,8871620,-1,-1,-1,Spider1
30668,1017,1396315628964,8898280,-1,-1,-1,Spider1
30669,1018,1396317992281,8924980,-1,-1,-1,Spider1
30670,1020,1396320355600,8951720,67500,-1,-1,Spider1
30671,1021,1396322718921,8978500,-1,-1,-1,Spider1
30672,1023,1396325082244,9005320,-1,-1,-1,Spider1
30673,1024,1396327445569,9032180,-1,-1,-1,Spider1
30674,1026,1396329808896,9059080,-1,-1,-1,Spider1
30675,1027,1484628184450,9086020,68000,-1,-1,Spider1
30676,1029,1484630621357,9113000,-1,-1,-1,Skeleton1
30677,1030,1484633058267,9140020,-1,-1,-1,Skeleton1
30678,1032,1484635495178,9167080,-1,-1,-1,Skeleton1
30679,1033,1484637932091,9194180,-1,-1,-1,Skeleton1
30680,1035,1484640369007,9221320,68500,-1,-1,Skeleton1
30681,1036,1484642805924,9248500,-1,-1,-1,Skeleton1
30682,1038,1577353982049,9275720,-1,-1,-1,Skeleton1
30683,1039,1577356493905,9302980,-1,-1,-1,Skeleton1
30684,1041,1577359005763,9330280,-1,-1,-1,Skeleton1
30685,1042,1577361517624,9357620,69000,-1,-1,Skeleton1
30686,1044,1577364029486,9385000,-1,-1,-1,Skeleton1
30687,1045,1577366541350,9412420,-1,-1,-1,Skeleton1
30688,1047,1577369053216,9439880,-1,-1,-1,Skeleton1
30689,1048,1674656412058,9467380,-1,-1,-1,Skeleton1
30690,1050,1674659000230,9494920,69500,-1,-1,Skeleton1
30691,1051,1674661588403,9522500,-1,-1,-1,Skeleton1
30692,1053,1674664176578,9550120,-1,-1,-1,Skeleton1
30693,1054,1674666764756,9577780,-1,-1,-1,Skeleton1
30694,1056,1674669352935,9605480,-1,-1,-1,Skeleton1
30695,1057,1674671941116,9633220,70000,-1,-1,Skeleton1
30696,1059,1776702848970,9661000,-1,-1,-1,Skeleton1
30697,1060,1776705514831,9688820,-1,-1,-1,Skeleton1
30698,1062,1776708180694,9716680,-1,-1,-1,Skeleton1
30699,1063,1776710846560,9744580,-1,-1,-1,Skeleton1
30700,1065,1776713512427,9772520,70500,-1,-1,Skeleton1
30701,1066,1776716178297,9800500,-1,-1,-1,Skeleton2
30702,1068,1776718844168,9828520,-1,-1,-1,Skeleton2
30703,1069,1883664699471,9856580,-1,-1,-1,Skeleton2
30704,1071,1883667444405,9884680,-1,-1,-1,Skeleton2
30705,1072,1883670189341,9912820,71000,-1,-1,Skeleton2
30706,1074,1883672934280,9941000,-1,-1,-1,Skeleton2
30707,1075,1883675679220,9969220,-1,-1,-1,Skeleton2
30708,1077,1883678424162,9997480,-1,-1,-1,Skeleton2
30709,1078,1883681169107,10025780,-1,-1,-1,Skeleton2
30710,1080,1995717450443,10054120,71500,-1,-1,Skeleton2
30711,1081,1995720275841,10082500,-1,-1,-1,Skeleton2
30712,1083,1995723101242,10110920,-1,-1,-1,Skeleton2
30713,1084,1995725926644,10139380,-1,-1,-1,Skeleton2
30714,1086,1995728752048,10167880,-1,-1,-1,Skeleton2
30715,1087,1995731577455,10196420,72000,-1,-1,Skeleton2
30716,1089,1995734402863,10225000,-1,-1,-1,Skeleton2
30717,1090,2113040716961,10253620,-1,-1,-1,Skeleton2
30718,1092,2113043624222,10282280,-1,-1,-1,Skeleton2
30719,1093,2113046531486,10310980,-1,-1,-1,Skeleton2
30720,1095,2113049438751,10339720,72500,-1,-1,Skeleton2
30721,1096,2113052346019,10368500,-1,-1,-1,Skeleton2
30722,1098,2113055253288,10397320,-1,-1,-1,Skeleton2
30723,1099,2113058160559,10426180,-1,-1,-1,Skeleton2
30724,1101,2235818290291,10455080,-1,-1,-1,Skeleton2
30725,1102,2235821280823,10484020,73000,-1,-1,Skeleton2
30726,1104,2235824271356,10513000,-1,-1,-1,SkeletonWithShield
30727,1105,2235827261892,10542020,-1,-1,-1,SkeletonWithShield
30728,1107,2235830252429,10571080,-1,-1,-1,SkeletonWithShield
30729,1108,2235833242969,10600180,-1,-1,-1,SkeletonWithShield
30730,1110,2235836233511,10629320,73500,-1,-1,SkeletonWithShield
30731,1111,2364238185890,10658500,-1,-1,-1,SkeletonWithShield
30732,1113,2364241261107,10687720,-1,-1,-1,SkeletonWithShield
30733,1114,2364244336326,10716980,-1,-1,-1,SkeletonWithShield
30734,1116,2364247411547,10746280,-1,-1,-1,SkeletonWithShield
30735,1117,2364250486770,10775620,74000,-1,-1,SkeletonWithShield
30736,1119,2364253561995,10805000,-1,-1,-1,SkeletonWithShield
30737,1120,2364256637222,10834420,-1,-1,-1,SkeletonWithShield
30738,1122,2498492691406,10863880,-1,-1,-1,SkeletonWithShield
30739,1123,2498495852731,10893380,-1,-1,-1,SkeletonWithShield
30740,1125,2498499014058,10922920,74500,-1,-1,SkeletonWithShield
30741,1126,2498502175387,10952500,-1,-1,-1,SkeletonWithShield
30742,1128,2498505336719,10982120,-1,-1,-1,SkeletonWithShield
30743,1129,2498508498052,11011780,-1,-1,-1,SkeletonWithShield
30744,1131,2498511659387,11041480,-1,-1,-1,SkeletonWithShield
30745,1132,2638778414673,11071220,75000,-1,-1,SkeletonWithShield
30746,1134,2638781663537,11101000,-1,-1,-1,SkeletonWithShield
30747,1135,2638784912404,11130820,-1,-1,-1,SkeletonWithShield
30748,1137,2638788161272,11160680,-1,-1,-1,SkeletonWithShield
30749,1138,2638791410143,11190580,-1,-1,-1,SkeletonWithShield
30750,1140,2638794659015,11220520,75500,-1,-1,SkeletonWithShield
30751,1141,2638797907890,11250500,-1,-1,-1,MageSkeleton-RustyShield
30752,1143,2785296331716,11280520,-1,-1,-1,MageSkeleton-RustyShield
30753,1144,2785299669558,11310580,-1,-1,-1,MageSkeleton-RustyShield
30754,1146,2785303007403,11340680,-1,-1,-1,MageSkeleton-RustyShield
30755,1147,2785306345249,11370820,76000,-1,-1,MageSkeleton-RustyShield
30756,1149,2785309683098,11401000,-1,-1,-1,MageSkeleton-RustyShield
30757,1150,2785313020948,11431220,-1,-1,-1,MageSkeleton-RustyShield
30758,1152,2785316358800,11461480,-1,-1,-1,MageSkeleton-RustyShield
30759,1153,2938251834745,11491780,-1,-1,-1,MageSkeleton-RustyShield
30760,1155,2938255263012,11522120,76500,-1,-1,MageSkeleton-RustyShield
30761,1156,2938258691281,11552500,-1,-1,-1,MageSkeleton-RustyShield
30762,1158,2938262119552,11582920,-1,-1,-1,MageSkeleton-RustyShield
30763,1159,2938265547825,11613380,-1,-1,-1,MageSkeleton-RustyShield
30764,1161,2938268976100,11643880,-1,-1,-1,MageSkeleton-RustyShield
30765,1162,2938272404377,11674420,77000,-1,-1,MageSkeleton-RustyShield
30766,1164,3097854780157,11705000,-1,-1,-1,MageSkeleton-RustyShield
30767,1165,3097858300302,11735620,-1,-1,-1,MageSkeleton-RustyShield
30768,1167,3097861820450,11766280,-1,-1,-1,MageSkeleton-RustyShield
30769,1168,3097865340600,11796980,-1,-1,-1,MageSkeleton-RustyShield
30770,1170,3097868860752,11827720,77500,-1,-1,MageSkeleton-RustyShield
30771,1171,3097872380905,11858500,-1,-1,-1,MageSkeleton-RustyShield
30772,1173,3097875901061,11889320,-1,-1,-1,MageSkeleton-RustyShield
30773,1174,3264319536532,11920180,-1,-1,-1,MageSkeleton-RustyShield
30774,1176,3264323150019,11951080,-1,-1,-1,MageSkeleton-RustyShield
30775,1177,3264326763507,11982020,78000,-1,-1,MageSkeleton-RustyShield
30776,1179,3264330376998,12013000,-1,-1,-1,Assassin
30777,1180,3264333990490,12044020,-1,-1,-1,Assassin
30778,1182,3264337603985,12075080,-1,-1,-1,Assassin
30779,1183,3264341217482,12106180,-1,-1,-1,Assassin
30780,1185,3437865032637,12137320,78500,-1,-1,Assassin
30781,1186,3437868740934,12168500,-1,-1,-1,Assassin
30782,1188,3437872449233,12199720,-1,-1,-1,Assassin
30783,1189,3437876157534,12230980,-1,-1,-1,Assassin
30784,1191,3437879865837,12262280,-1,-1,-1,Assassin
30785,1192,3437883574142,12293620,79000,-1,-1,Assassin
30786,1194,3437887282449,12325000,-1,-1,-1,Assassin
30787,1195,3618714805419,12356420,-1,-1,-1,Assassin
30788,1197,3618718610004,12387880,-1,-1,-1,Assassin
30789,1198,3618722414591,12419380,-1,-1,-1,Assassin
30790,1200,3618726219180,12450920,79500,-1,-1,Assassin
30791,1201,3618730023771,12482500,-1,-1,-1,Assassin
30792,1203,3618733828364,12514120,-1,-1,-1,Assassin
30793,1204,3618737632959,12545780,-1,-1,-1,Assassin
30794,1206,3807097048010,12577480,-1,-1,-1,Assassin
30795,1207,3807100950367,12609220,80000,-1,-1,Assassin
30796,1209,3807104852727,12641000,-1,-1,-1,Assassin
30797,1210,3807108755089,12672820,-1,-1,-1,Assassin
30798,1212,3807112657453,12704680,-1,-1,-1,Assassin
30799,1213,3807116559818,12736580,-1,-1,-1,Assassin
30800,1215,3807120462186,12768520,80500,-1,-1,Assassin
30801,1216,4003244657721,12800500,-1,-1,-1,BigWorm1
30802,1218,4003248659344,12832520,-1,-1,-1,BigWorm1
30803,1219,4003252660969,12864580,-1,-1,-1,BigWorm1
30804,1221,4003256662596,12896680,-1,-1,-1,BigWorm1
30805,1222,4003260664225,12928820,81000,-1,-1,BigWorm1
30806,1224,4003264665856,12961000,-1,-1,-1,BigWorm1
30807,1225,4003268667489,12993220,-1,-1,-1,BigWorm1
30808,1227,4207395284045,13025480,-1,-1,-1,BigWorm1
30809,1228,4207399386433,13057780,-1,-1,-1,BigWorm1
30810,1230,4207403488824,13090120,81500,-1,-1,BigWorm1
30811,1231,4207407591216,13122500,-1,-1,-1,BigWorm1
30812,1233,4207411693610,13154920,-1,-1,-1,BigWorm1
30813,1234,4207415796006,13187380,-1,-1,-1,BigWorm1
30814,1236,4207419898405,13219880,-1,-1,-1,BigWorm1
30815,1237,4419791376654,13252420,82000,-1,-1,BigWorm1
30816,1239,4419795581315,13285000,-1,-1,-1,BigWorm1
30817,1240,4419799785978,13317620,-1,-1,-1,BigWorm1
30818,1242,4419803990643,13350280,-1,-1,-1,BigWorm1
30819,1243,4419808195310,13382980,-1,-1,-1,BigWorm1
30820,1245,4419812399979,13415720,82500,-1,-1,BigWorm1
30821,1246,4419816604650,13448500,-1,-1,-1,BigWorm1
30822,1248,4640680233400,13481320,-1,-1,-1,BigWorm1
30823,1249,4640684541848,13514180,-1,-1,-1,BigWorm1
30824,1251,4640688850299,13547080,-1,-1,-1,BigWorm1
30825,1252,4640693158752,13580020,83000,-1,-1,BigWorm1
30826,1254,4640697467206,13613000,-1,-1,-1,Spider2
30827,1255,4640701775663,13646020,-1,-1,-1,Spider2
30828,1257,4640706084121,13679080,-1,-1,-1,Spider2
30829,1258,4870314048309,13712180,-1,-1,-1,Spider2
30830,1260,4870318462068,13745320,83500,-1,-1,Spider2
30831,1261,4870322875829,13778500,-1,-1,-1,Spider2
30832,1263,4870327289591,13811720,-1,-1,-1,Spider2
30833,1264,4870331703356,13844980,-1,-1,-1,Spider2
30834,1266,4870336117122,13878280,-1,-1,-1,Spider2
30835,1267,4870340530891,13911620,84000,-1,-1,Spider2
30836,1269,5108949959589,13945000,-1,-1,-1,Spider2
30837,1270,5108954480188,13978420,-1,-1,-1,Spider2
30838,1272,5108959000788,14011880,-1,-1,-1,Spider2
30839,1273,5108963521390,14045380,-1,-1,-1,Spider2
30840,1275,5108968041995,14078920,84500,-1,-1,Spider2
30841,1276,5108972562601,14112500,-1,-1,-1,Spider2
30842,1278,5108977083209,14146120,-1,-1,-1,Spider2
30843,1279,5356850097622,14179780,-1,-1,-1,Spider2
30844,1281,5356854726597,14213480,-1,-1,-1,Spider2
30845,1282,5356859355574,14247220,85000,-1,-1,Spider2
30846,1284,5356863984553,14281000,-1,-1,-1,Spider2
30847,1285,5356868613534,14314820,-1,-1,-1,Spider2
30848,1287,5356873242517,14348680,-1,-1,-1,Spider2
30849,1288,5356877871502,14382580,-1,-1,-1,Spider2
30850,1290,5614281632964,14416520,85500,-1,-1,Spider2
30851,1291,5614286371861,14450500,-1,-1,-1,Skeleton2
30852,1293,5614291110759,14484520,-1,-1,-1,Skeleton2
30853,1294,5614295849659,14518580,-1,-1,-1,Skeleton2
30854,1296,5614300588561,14552680,-1,-1,-1,Skeleton2
30855,1297,5614305327465,14586820,86000,-1,-1,Skeleton2
30856,1299,5614310066371,14621000,-1,-1,-1,Skeleton2
30857,1300,5881516824349,14655220,-1,-1,-1,Skeleton2
30858,1302,5881521674718,14689480,-1,-1,-1,Skeleton2
30859,1303,5881526525089,14723780,-1,-1,-1,Skeleton2
30860,1305,5881531375461,14758120,86500,-1,-1,Skeleton2
30861,1306,5881536225836,14792500,-1,-1,-1,Skeleton2
30862,1308,5881541076213,14826920,-1,-1,-1,Skeleton2
30863,1309,5881545926592,14861380,-1,-1,-1,Skeleton2
30864,1311,6158833066682,14895880,-1,-1,-1,Skeleton2
30865,1312,6158838030082,14930420,87000,-1,-1,Skeleton2
30866,1314,6158842993484,14965000,-1,-1,-1,Skeleton2
30867,1315,6158847956889,14999620,-1,-1,-1,Skeleton2
30868,1317,6158852920295,15034280,-1,-1,-1,Skeleton2
30869,1318,6158857883703,15068980,-1,-1,-1,Skeleton2
30870,1320,6158862847113,15103720,87500,-1,-1,Skeleton2
30871,1321,6446512939042,15138500,-1,-1,-1,Skeleton2
30872,1323,6446518017040,15173320,-1,-1,-1,Skeleton2
30873,1324,6446523095040,15208180,-1,-1,-1,Skeleton2
30874,1326,6446528173041,15243080,-1,-1,-1,Skeleton2
30875,1327,6446533251045,15278020,88000,-1,-1,Skeleton2
30876,1329,6446538329051,15313000,-1,-1,-1,Spider1
30877,1330,6446543407059,15348020,-1,-1,-1,Spider1
30878,1332,6744844252681,15383080,-1,-1,-1,Spider1
30879,1333,6744849446849,15418180,-1,-1,-1,Spider1
30880,1335,6744854641020,15453320,88500,-1,-1,Spider1
30881,1336,6744859835193,15488500,-1,-1,-1,Spider1
30882,1338,6744865029367,15523720,-1,-1,-1,Spider1
30883,1339,6744870223544,15558980,-1,-1,-1,Spider1
30884,1341,6744875417722,15594280,-1,-1,-1,Spider1
30885,1342,7054120099022,15629620,89000,-1,-1,Spider1
30886,1344,7054125410941,15665000,-1,-1,-1,Spider1
30887,1345,7054130722863,15700420,-1,-1,-1,Spider1
30888,1347,7054136034787,15735880,-1,-1,-1,Spider1
30889,1348,7054141346712,15771380,-1,-1,-1,Spider1
30890,1350,7054146658640,15806920,89500,-1,-1,Spider1
30891,1351,7054151970570,15842500,-1,-1,-1,Spider1
30892,1353,7374638897658,15878120,-1,-1,-1,Spider1
30893,1354,7374644328917,15913780,-1,-1,-1,Spider1
30894,1356,7374649760177,15949480,-1,-1,-1,Spider1
30895,1357,7374655191439,15985220,90000,-1,-1,Spider1
30896,1359,7374660622703,16021000,-1,-1,-1,Spider1
30897,1360,7374666053970,16056820,-1,-1,-1,Spider1
30898,1362,7374671485238,16092680,-1,-1,-1,Spider1
30899,1363,7706704444355,16128580,-1,-1,-1,Spider1
30900,1365,7706709996546,16164520,90500,-1,-1,Spider1
30901,1366,7706715548740,16200500,-1,-1,-1,Skeleton1
30902,1368,7706721100935,16236520,-1,-1,-1,Skeleton1
30903,1369,7706726653132,16272580,-1,-1,-1,Skeleton1
30904,1371,7706732205332,16308680,-1,-1,-1,Skeleton1
30905,1372,7706737757533,16344820,91000,-1,-1,Skeleton1
30906,1374,8050625959045,16381000,-1,-1,-1,Skeleton1
30907,1375,8050631633771,16417220,-1,-1,-1,Skeleton1
30908,1377,8050637308499,16453480,-1,-1,-1,Skeleton1
30909,1378,8050642983229,16489780,-1,-1,-1,Skeleton1
30910,1380,8050648657961,16526120,91500,-1,-1,Skeleton1
30911,1381,8050654332695,16562500,-1,-1,-1,Skeleton1
30912,1383,8050660007431,16598920,-1,-1,-1,Skeleton1
30913,1384,8406718133830,16635380,-1,-1,-1,Skeleton1
30914,1386,8406723932700,16671880,-1,-1,-1,Skeleton1
30915,1387,8406729731571,16708420,92000,-1,-1,Skeleton1
30916,1389,8406735530444,16745000,-1,-1,-1,Skeleton1
30917,1390,8406741329319,16781620,-1,-1,-1,Skeleton1
30918,1392,8406747128196,16818280,-1,-1,-1,Skeleton1
30919,1393,8406752927076,16854980,-1,-1,-1,Skeleton1
30920,1395,8775301180981,16891720,92500,-1,-1,Skeleton1
30921,1396,8775307105609,16928500,-1,-1,-1,Skeleton1
30922,1398,8775313030239,16965320,-1,-1,-1,Skeleton1
30923,1399,8775318954871,17002180,-1,-1,-1,Skeleton1
30924,1401,8775324879505,17039080,-1,-1,-1,Skeleton1
30925,1402,8775330804141,17076020,93000,-1,-1,Skeleton1
30926,1404,8775336728779,17113000,-1,-1,-1,Assassin
30927,1405,9156700880935,17150020,-1,-1,-1,Assassin
30928,1407,9156706932945,17187080,-1,-1,-1,Assassin
30929,1408,9156712984956,17224180,-1,-1,-1,Assassin
